Trondheim N3031;Leangen 2024;Trondheim 2023;Trondheim ekstrem
2.70;7.60;-1.60;-6.10
1.93;7.30;-1.80;-6.20
1.16;6.80;-1.90;-6.40
0.39;6.30;-2.20;-7.60
-0.38;6.00;-2.40;-8.30
-1.15;5.70;-2.40;-10.00
-1.92;5.40;-2.30;-10.70
-2.69;5.20;-2.20;-10.10
-0.77;5.00;-2.10;-10.00
-0.62;4.80;-2.00;-10.20
-1.72;4.90;-1.80;-11.10
-1.77;5.50;-1.40;-9.60
-1.02;5.40;-3.30;-9.70
-1.37;5.20;-4.10;-10.10
-1.07;4.90;-4.80;-11.30
-0.57;4.70;-5.10;-9.90
-0.92;4.40;-4.80;-9.90
-0.72;4.10;-6.80;-10.00
-0.87;3.80;-7.50;-11.30
-0.87;3.60;-6.20;-12.20
-0.67;3.30;-7.40;-12.80
-0.37;3.00;-6.80;-12.00
-0.32;2.70;-7.40;-11.80
-0.52;2.40;-7.40;-13.20
-0.42;2.30;-6.20;-11.00
-0.67;2.20;-7.00;-13.00
0.13;2.10;-7.20;-14.40
0.13;2.00;-6.60;-14.10
0.23;1.90;-7.00;-12.50
0.48;1.90;-7.20;-14.80
0.28;1.80;-7.40;-16.00
-0.47;1.80;-8.20;-15.10
-0.22;1.80;-7.70;-16.00
0.28;1.70;-7.10;-15.60
-0.22;1.90;-7.10;-14.50
0.03;2.90;-7.30;-15.70
0.73;3.40;-6.80;-14.60
0.43;3.50;-7.10;-14.80
1.08;2.90;-6.60;-14.40
0.58;2.80;-6.70;-13.70
0.53;2.80;-6.30;-13.80
0.38;2.70;-6.50;-14.10
0.13;2.60;-6.40;-13.20
0.58;2.50;-7.30;-12.30
1.83;2.50;-6.50;-10.80
0.53;2.40;-6.30;-10.50
0.68;2.20;-6.60;-9.50
0.33;1.80;-7.70;-8.80
-0.22;2.20;-6.10;-8.40
0.08;2.20;-5.40;-6.80
0.48;2.10;-5.40;-4.60
0.98;2.00;-4.60;-2.90
1.08;2.00;-5.30;-2.40
0.53;2.00;-4.90;-2.50
-0.02;2.00;-4.00;-2.00
-0.37;2.00;-4.20;-1.80
-0.47;2.00;-4.00;0.10
-0.42;2.00;-3.90;1.00
-0.92;2.30;-3.20;0.20
-1.52;3.40;-3.70;-0.60
-1.62;4.00;-3.70;-1.00
-2.32;4.10;-5.40;-1.00
-3.27;3.50;-5.80;-1.10
-4.02;3.40;-6.90;-2.80
-5.47;3.20;-7.20;-1.70
-6.12;3.10;-7.30;-2.50
-6.67;3.00;-7.80;-1.90
-7.22;2.80;-8.10;-2.30
-7.47;2.70;-7.80;-2.50
-7.57;2.40;-8.10;-2.40
-8.42;2.40;-8.50;-2.30
-8.57;1.80;-8.60;-2.20
-8.67;2.10;-8.80;-1.80
-9.22;1.90;-8.00;-2.30
-9.32;1.70;-7.40;-2.00
-9.42;1.50;-7.10;-2.00
-10.02;1.40;-5.00;-0.40
-9.57;1.40;-3.70;-0.80
-9.17;1.30;-3.50;-1.60
-9.12;1.20;-2.90;-1.30
-8.32;1.10;-3.40;-1.20
-7.52;1.10;-3.10;-2.30
-7.37;1.30;-2.80;-2.20
-6.92;2.90;-2.40;-2.90
-6.52;3.50;-1.80;-3.90
-7.27;3.50;-2.30;-4.70
-7.12;2.80;-3.50;-4.70
-6.67;2.50;-4.10;-5.60
-6.52;2.30;-3.90;-7.60
-6.32;2.10;-2.80;-7.80
-6.02;1.80;-2.50;-9.50
-5.42;1.60;-2.80;-9.40
-5.32;1.30;-3.10;-8.80
-4.87;1.10;-3.00;-9.80
-4.97;0.90;-3.20;-9.70
-4.77;0.60;-3.50;-9.80
-4.27;0.40;-3.50;-9.70
-3.97;0.10;-3.40;-10.20
-3.37;-0.20;-3.10;-10.50
-2.77;-0.40;-3.10;-11.80
-2.92;-0.50;-3.20;-13.60
-2.22;-0.70;-3.10;-13.60
-1.77;-0.80;-3.00;-14.00
-1.52;-0.90;-3.30;-15.00
-1.97;-0.90;-3.40;-14.40
-1.67;-1.00;-3.20;-15.20
0.13;-0.40;-3.20;-15.70
-0.27;1.90;-3.40;-17.70
0.48;2.80;-3.20;-17.30
0.53;2.90;-3.20;-16.90
0.73;1.60;-3.10;-16.90
0.93;1.40;-2.90;-16.60
0.83;1.20;-2.90;-17.60
1.48;0.90;-3.30;-18.10
1.68;0.70;-2.60;-18.50
1.63;0.50;-2.90;-18.80
1.83;0.20;-2.90;-19.20
1.78;0.00;-2.90;-19.70
1.33;-0.20;-2.70;-20.00
1.23;-0.50;-2.50;-19.10
1.33;-0.80;-2.60;-20.50
1.23;-1.10;-2.90;-21.30
3.48;-1.40;-3.00;-21.00
4.58;-1.70;-2.60;-21.10
4.28;-1.80;-2.60;-21.30
4.03;-2.00;-2.80;-20.80
3.88;-2.20;-3.50;-21.50
1.98;-2.30;-3.40;-20.10
2.83;-2.40;-3.30;-19.60
2.88;-2.50;-2.50;-21.10
0.43;-2.30;-2.50;-20.90
-0.27;-0.70;-2.80;-20.90
-0.52;-0.10;-2.80;-19.80
-0.77;0.00;-2.70;-19.80
-0.67;-0.80;-2.70;-19.80
-0.42;-0.90;-2.60;-19.90
-0.92;-1.00;-2.70;-20.00
-1.32;-1.10;-2.70;-20.60
-1.57;-1.20;-2.30;-20.20
-1.82;-1.30;-2.10;-20.30
-1.87;-1.40;-2.10;-21.00
-1.67;-1.50;-1.90;-18.90
-1.87;-1.60;-2.10;-20.50
-2.02;-1.70;-1.80;-18.20
-2.17;-1.80;-3.30;-20.10
-2.07;-1.90;-1.70;-20.50
-1.97;-1.60;-2.20;-19.80
-1.77;-1.50;-2.10;-19.50
-1.87;-1.50;-0.60;-18.70
-1.77;-1.40;0.40;-17.90
-1.62;-1.40;0.80;-16.40
-2.47;-1.30;0.60;-15.90
-2.67;-1.30;1.00;-18.30
-2.12;-1.20;1.10;-18.70
-1.72;-0.50;1.20;-17.80
-1.52;0.40;0.30;-16.90
-1.02;1.00;-0.10;-16.50
-1.52;1.90;-0.50;-17.60
-1.87;1.30;-1.90;-17.50
-2.32;1.10;-1.00;-15.90
-2.82;0.90;-1.50;-14.10
-3.12;0.80;-1.30;-14.30
-2.52;0.60;-1.20;-17.90
-2.17;0.50;2.00;-19.40
-3.37;0.30;2.60;-19.20
-4.07;0.10;3.10;-19.60
-3.47;0.00;4.70;-17.70
-3.07;-0.20;4.90;-16.10
-2.77;-0.50;5.30;-19.10
-3.12;-0.90;6.50;-18.00
-3.12;-1.20;6.50;-16.80
-2.92;-1.60;6.30;-19.50
-2.62;-1.80;6.40;-18.50
-1.27;-1.90;7.50;-18.60
2.78;-2.10;7.30;-16.60
3.03;-2.30;5.80;-19.00
4.18;-2.40;6.90;-18.90
6.23;-2.50;7.20;-19.30
6.43;-2.40;7.30;-17.80
6.93;-1.50;7.20;-16.90
7.13;-0.80;6.80;-18.00
7.13;-0.60;7.00;-17.30
7.23;-1.20;6.80;-17.50
7.33;-1.50;6.80;-15.00
7.13;-1.80;6.60;-16.80
7.03;-2.10;6.00;-18.40
7.13;-2.50;6.20;-17.80
7.08;-2.90;6.10;-15.90
6.73;-3.00;6.10;-16.60
6.93;-3.30;6.00;-17.90
6.68;-3.60;5.70;-16.70
6.43;-3.90;4.70;-16.50
6.48;-4.20;5.00;-14.60
6.53;-4.80;5.70;-16.10
6.48;-4.70;5.60;-16.40
6.33;-5.00;5.60;-14.20
6.03;-5.20;4.90;-15.50
5.88;-5.30;5.10;-12.70
5.73;-5.50;4.40;-15.80
5.53;-5.60;5.30;-15.70
5.68;-5.70;5.30;-15.30
5.23;-5.80;5.80;-14.10
5.03;-5.40;5.80;-13.00
5.83;-4.20;6.50;-12.30
5.48;-3.90;6.50;-12.20
5.38;-3.70;6.10;-11.80
6.03;-4.40;5.70;-13.70
6.78;-4.60;5.50;-12.70
6.08;-4.70;5.50;-11.30
5.63;-4.80;5.70;-12.10
5.03;-4.90;5.50;-12.10
5.48;-5.10;5.20;-12.20
5.08;-5.20;5.40;-11.50
4.58;-5.40;5.60;-12.60
3.13;-5.50;5.60;-15.00
2.33;-5.60;5.60;-14.80
1.73;-5.60;5.60;-13.40
1.78;-5.60;5.70;-13.90
1.33;-5.60;5.10;-14.50
1.03;-5.60;5.30;-14.30
0.98;-5.60;5.00;-14.20
0.68;-5.60;4.80;-13.80
0.63;-5.70;4.20;-13.30
0.58;-5.60;4.40;-13.00
0.33;-5.60;4.30;-14.60
0.08;-5.90;3.60;-14.30
0.88;-4.90;3.30;-14.00
3.68;-3.30;1.20;-12.40
6.63;-2.50;1.70;-11.20
7.23;-2.30;1.70;-10.30
7.48;-3.30;1.80;-9.70
7.33;-3.30;1.80;-8.90
6.88;-3.40;1.30;-8.30
6.63;-3.60;1.40;-7.70
6.48;-3.60;1.90;-7.50
6.43;-3.60;4.00;-7.00
5.78;-3.70;3.50;-6.40
5.78;-3.80;2.70;-6.70
4.83;-3.90;1.80;-5.90
3.98;-3.90;1.70;-5.50
3.53;-4.10;0.70;-5.40
3.58;-4.30;1.10;-4.70
3.98;-4.40;1.30;-4.30
4.53;-4.50;2.30;-3.90
4.23;-4.50;3.90;-4.00
3.63;-4.60;4.50;-3.90
4.43;-4.60;4.70;-3.60
3.98;-4.60;5.10;-4.20
4.13;-4.60;5.80;-4.10
4.43;-4.60;4.40;-3.70
3.43;-3.90;4.80;-3.10
3.43;-1.60;5.90;-2.60
4.83;-0.20;6.50;-2.80
4.13;0.20;6.30;-3.20
3.43;-1.00;5.90;-2.30
3.48;-1.40;5.90;-2.70
4.48;-1.70;6.00;-3.70
4.73;-2.10;6.00;-3.10
4.88;-2.50;6.60;-3.70
4.73;-2.90;6.40;-4.10
4.43;-3.30;6.40;-5.90
4.83;-3.60;6.60;-5.10
5.23;-4.00;6.80;-5.90
5.73;-4.40;7.10;-5.50
5.93;-5.80;7.50;-8.10
6.73;-7.70;7.20;-6.70
7.88;-9.60;7.40;-6.30
8.28;-11.40;7.00;-6.90
8.48;-12.60;6.40;-8.20
8.38;-13.70;5.60;-9.50
7.63;-14.80;5.30;-9.20
6.08;-15.70;4.60;-6.90
5.63;-16.60;4.60;-7.10
5.03;-17.50;4.00;-8.70
5.23;-18.20;3.70;-7.40
4.98;-19.20;3.80;-7.60
5.43;-18.80;3.30;-7.20
6.23;-18.80;3.40;-7.40
8.13;-19.50;3.50;-7.20
8.23;-18.80;3.20;-7.30
7.98;-18.80;3.00;-7.80
7.78;-18.80;2.90;-6.90
8.03;-18.80;2.80;-6.20
7.43;-18.80;2.60;-6.70
7.58;-18.80;3.00;-5.30
7.08;-18.80;3.00;-7.50
6.73;-18.80;2.60;-8.00
6.18;-18.80;0.30;-8.80
5.78;-18.20;-0.30;-9.80
5.93;-17.60;-0.70;-10.60
5.38;-16.90;-1.30;-10.00
5.18;-16.20;-1.40;-9.50
5.38;-15.80;-1.90;-10.80
4.83;-15.40;-2.10;-8.30
4.58;-15.00;-2.70;-8.90
3.63;-14.70;-2.70;-9.20
3.33;-14.40;-3.10;-9.40
2.93;-14.20;-2.80;-8.70
3.13;-10.50;-3.30;-10.40
2.93;-8.90;-3.30;-10.50
2.83;-7.50;-3.50;-8.90
2.83;-6.10;-3.30;-7.60
2.28;-6.90;-3.30;-6.80
2.78;-6.90;-3.60;-7.30
3.63;-7.00;-3.90;-7.10
3.48;-7.00;-3.30;-8.30
3.13;-7.00;-2.50;-9.10
3.23;-7.10;-2.50;-9.60
2.83;-7.10;-2.40;-7.80
2.23;-7.20;-1.70;-9.80
2.08;-7.20;-1.60;-7.70
1.38;-7.20;-1.80;-7.70
0.48;-7.80;-1.80;-8.00
0.28;-8.30;-1.90;-8.70
0.23;-8.80;-2.30;-9.70
0.13;-9.40;-2.00;-9.70
0.03;-9.70;-2.30;-11.00
-0.07;-9.90;-2.20;-12.20
0.28;-10.20;-2.20;-11.70
0.43;-10.40;-2.20;-11.00
0.18;-10.60;-2.10;-11.20
0.43;-10.60;-1.30;-12.20
-0.07;-9.60;-1.70;-11.40
-0.27;-8.90;-1.40;-9.10
-0.52;-8.50;-1.20;-9.70
-0.72;-8.40;-0.90;-9.30
-0.72;-9.00;-0.90;-9.20
-1.17;-9.40;-0.40;-8.40
-1.42;-9.80;-0.90;-8.60
-1.37;-10.20;-1.60;-9.40
-1.77;-10.70;-1.70;-9.80
-2.82;-11.30;-2.20;-11.50
-3.22;-11.40;-1.70;-12.10
-3.72;-11.70;-1.20;-10.10
-5.62;-12.10;-2.70;-11.00
-6.02;-12.50;0.00;-10.90
-6.47;-13.00;0.20;-11.10
-7.07;-13.70;0.70;-10.90
-6.87;-14.50;0.40;-10.70
-6.97;-15.20;0.40;-10.00
-7.42;-15.70;0.20;-10.20
-7.52;-16.20;0.20;-9.40
-7.52;-16.60;-0.20;-9.50
-8.82;-17.00;-0.50;-9.20
-8.87;-17.40;-0.50;-9.00
-8.82;-17.60;-0.70;-9.40
-8.92;-17.30;-0.90;-8.80
-7.97;-17.20;-1.30;-8.70
-7.27;-16.80;-1.50;-9.00
-8.07;-16.80;-1.80;-8.00
-7.62;-17.10;-2.10;-8.00
-7.42;-17.70;-2.50;-7.80
-8.22;-16.90;-2.10;-7.80
-8.22;-16.10;-2.20;-7.80
-8.22;-15.20;-2.80;-7.70
-7.77;-14.40;-3.00;-8.70
-7.77;-13.70;-2.60;-8.00
-7.67;-12.80;-2.50;-8.00
-6.97;-11.90;-3.00;-6.60
-5.97;-11.50;-3.20;-6.80
-5.37;-10.40;-2.90;-6.30
-4.92;-10.20;-2.90;-4.10
-4.32;-9.10;-2.60;-5.90
-4.02;-8.20;-2.40;-3.50
-3.27;-7.80;-2.30;-3.40
-2.72;-7.30;-2.10;-1.40
-2.27;-6.90;-1.90;-1.30
-1.62;-6.60;-1.50;-1.20
-1.57;-6.30;-1.10;-1.70
-1.52;-6.10;-0.60;-1.70
-1.27;-5.60;-0.50;-1.60
-1.47;-4.50;0.00;-1.20
-1.12;-4.00;0.30;-0.70
